IdPoliza,cvePoliza,FechaEmision,IdConfiguracion,IdEmpresa,IdAgente,NumGarantia,MontoAfianzado,MontoRetenido,MontoCubierto,TipoUltimoEstado,UltimoEstado,FechaAviso,FechaFinVig
62,DFR001011736000,2014-08-08,35321,904,7,0,10000000,10000000,10000000,Con leyenda,NULL,NULL,2017-06-13
63,DFR001011745000,2012-12-13,31336,944,56,3,2896401.47,2896401.47,2896401.47,Con leyenda,2016-12-30,2020-04-30,NULL
64,DFR001011834000,2013-02-27,32348,531,7,1,38425,38425,38425,Con leyenda,2013-12-31,2020-03-31,NULL
65,DFR001011837000,2013-03-01,35321,261,28,1,200000,200000,200000,Con leyenda,2019-09-30,2020-04-01,NULL
66,DFR001011889000,2013-04-03,32353,495,7,1,121953.84,121953.84,121953.84,Con leyenda,2019-06-30,2019-12-31,NULL
67,DFR001011897000,2013-04-09,32353,495,28,1,118692,118692,118692,Con leyenda,2019-06-30,2019-12-31,NULL
68,DFR001011913000,2013-04-25,35321,469,7,2,120122.4,120122.4,120122.4,No Actualizado,2012-12-31,2020-04-01,NULL
69,DFR001011920000,2013-05-07,32348,569,7,2,38036.5,38036.5,38036.5,Con leyenda,2012-12-31,2020-04-30,NULL
70,DFR001011939000,2013-05-21,22214,870,28,7,90861.16,90861.16,90861.16,Con leyenda,2017-12-31,2019-12-31,NULL
71,DFR001011951000,2013-05-29,32353,569,7,0,38036.5,38036.5,38036.5,Con leyenda,NULL,NULL,2014-05-05
72,DFR001011963000,2013-06-10,32348,980,7,1,87920,87920,87920,Con leyenda,2013-03-31,2020-05-31,NULL
73,DFR001011964000,2013-06-10,32348,156,65,1,1189071.59,1189071.59,1189071.59,Con leyenda,2017-04-30,2019-09-30,NULL
74,DFR001011967000,2013-06-12,32353,662,28,2,15580.72,15580.72,15580.72,Con leyenda,2016-11-30,2019-12-31,NULL
75,DFR001011979000,2013-06-21,22212,558,28,0,102300,102300,102300,No Actualizado,NULL,NULL,2014-06-18
76,DFR001012001000,2013-07-03,31334,572,28,0,1000000,1000000,1000000,No Actualizado,NULL,NULL,2019-08-23
77,DFR001012002000,2013-07-03,31334,572,28,0,1000000,1000000,1000000,No Actualizado,NULL,NULL,2019-08-23
78,DFR001012007000,2013-07-12,32353,495,28,1,10668,10668,10668,Con leyenda,2019-06-30,2019-12-31,NULL
79,DFR001012026000,2013-07-26,32353,385,28,1,652250,652250,652250,Con leyenda,2018-12-31,2020-02-28,NULL
80,DFR001012027000,2013-08-01,32353,385,28,1,450250,450250,450250,Con leyenda,2018-12-31,2020-02-28,NULL
81,DFR001012028000,2013-08-01,35321,121,28,0,336450,336450,336450,Con leyenda,NULL,NULL,2015-07-02
82,DFR001012034000,2013-08-09,22212,14,28,0,500000,500000,500000,No Actualizado,NULL,NULL,2019-09-04
83,DFR001012095000,2013-10-04,31336,944,56,3,6574806.91,6574806.91,6574806.91,Con leyenda,2016-12-30,2020-04-30,NULL
84,DFR001012118000,2013-10-29,33309,554,7,0,124660,124660,124660,No Actualizado,NULL,NULL,2014-10-29
85,DFR001012184000,2013-12-12,32348,324,7,1,231015.04,231015.04,231015.04,Con leyenda,2019-06-30,2019-11-30,2020-09-17
86,DFR001012195000,2013-12-19,32348,642,7,0,12000000,12000000,12000000,No Actualizado,NULL,NULL,2013-12-19
87,DFR001012196000,2013-12-19,32348,684,7,0,10000000,10000000,10000000,No Actualizado,NULL,NULL,2013-12-19
88,DFR001012218000,2014-01-03,32353,752,7,1,544451.48,544451.48,544451.48,Con leyenda,2016-05-31,2019-12-31,NULL
89,DFR001012253000,2014-01-22,32353,662,28,2,48274.47,48274.47,48274.47,Con leyenda,2016-11-30,2019-12-31,NULL
90,DFR001012255000,2014-01-24,32349,551,7,3,124182.64,124182.64,124182.64,Con leyenda,2014-02-28,2019-06-30,NULL
91,DFR001012269000,2014-02-06,22214,334,7,1,17442971.42,14931759.15,17442971.42,Con leyenda,2018-12-31,2015-02-03,NULL
92,DFR001012287000,2014-02-13,22212,103,28,1,390000,390000,390000,No Actualizado,2018-11-30,2019-06-03,NULL
93,DFR001012306000,2014-02-20,32353,531,7,1,40375,40375,40375,Con leyenda,2013-12-31,2020-03-31,NULL
94,DFR001012310000,2014-02-26,31336,944,56,3,2695567.43,2695567.43,2695567.43,Con leyenda,2016-12-30,2020-04-30,NULL
95,DFR001012321000,2014-03-06,35321,838,28,1,200000,200000,200000,Con leyenda,2019-12-31,2019-02-28,2020-11-11
96,DFR001012322000,2014-03-06,35321,638,28,0,200000,200000,200000,Con leyenda,NULL,NULL,2020-11-11
97,DFR001012334000,2014-03-10,35317,702,7,1,303807.18,303807.18,303807.18,Con leyenda,2013-12-31,2020-04-30,NULL
98,DFR001012340000,2014-03-14,22216,41,28,1,485290.58,485290.58,485290.58,Con leyenda,2019-12-31,2019-12-31,NULL
99,DFR001012346000,2014-03-21,33309,43,28,2,846656.28,846656.28,846656.28,Con leyenda,2019-12-31,2020-02-05,NULL
100,DFR001012347000,2014-03-21,32348,726,7,2,13800,13800,13800,Con leyenda,2019-12-31,2020-03-02,NULL
101,DFR001012357000,2014-03-25,32348,495,7,1,73388.7,73388.7,73388.7,Con leyenda,2019-06-30,2019-12-31,NULL
102,DFR001012359000,2014-03-26,35317,702,7,1,29554.54,29554.54,29554.54,Con leyenda,2013-12-31,2020-04-30,NULL
103,DFR001012364000,2014-03-28,32349,551,7,3,180293,180293,180293,Con leyenda,2014-02-28,2019-06-30,NULL
104,DFR001012368000,2014-04-01,32348,551,7,3,117678.4,117678.4,117678.4,Con leyenda,2014-02-28,2019-06-30,NULL
105,DFR001012369000,2014-04-01,32349,551,7,3,273013.89,273013.89,273013.89,Con leyenda,2014-02-28,2019-06-30,NULL
106,DFR001012372000,2014-04-02,31339,84,28,3,158491.05,158491.05,158491.05,Con leyenda,2019-12-31,2019-10-31,NULL
107,DFR001012373000,2014-04-02,31335,84,28,3,475473.3,475473.3,475473.3,Con leyenda,2019-12-31,2019-10-31,NULL
108,DFR001012387000,2014-04-10,32349,551,7,3,211897.2,211897.2,211897.2,Con leyenda,2014-02-28,2019-06-30,NULL
109,DFR001012390000,2014-04-15,32348,495,7,1,22680,22680,22680,Con leyenda,2019-06-30,2019-12-31,NULL
110,DFR001012393000,2014-04-21,32348,726,7,2,31263,31263,31263,Con leyenda,2019-12-31,2020-03-02,NULL
111,DFR001012394000,2014-04-22,32353,324,27,1,242400,242400,242400,Con leyenda,2019-06-30,2019-11-30,NULL
112,DFR001012395000,2014-04-23,33309,43,28,2,110950.71,110950.71,110950.71,Con leyenda,2019-12-31,2020-02-05,NULL
113,DFR001012396000,2014-04-23,35317,702,7,1,210336.52,210336.52,210336.52,Con leyenda,2013-12-31,2020-04-30,NULL
114,DFR001012404000,2014-04-28,32348,495,7,1,50408.27,50408.27,50408.27,Con leyenda,2019-06-30,2019-12-31,NULL
115,DFR001012409000,2014-05-06,32348,551,7,3,176715.98,176715.98,176715.98,Con leyenda,2014-02-28,2019-06-30,NULL
116,DFR001012410000,2014-05-06,32349,551,7,3,530148.22,530148.22,530148.22,Con leyenda,2014-02-28,2019-06-30,NULL
117,DFR001012411000,2014-05-08,31335,551,7,3,251670.48,251670.48,251670.48,Con leyenda,2014-02-28,2019-06-30,NULL
118,DFR001012419000,2014-05-12,33309,343,7,2,44940,44940,44940,Sin leyenda c/ Dict. Anual,2018-12-31,2019-10-01,NULL
119,DFR001012426000,2014-05-15,32348,495,7,1,198000,198000,198000,Con leyenda,2019-06-30,2019-12-31,NULL
120,DFR001012441000,2014-05-26,32353,430,75,2,2439528.8,2439528.8,2439528.8,Con leyenda,2019-08-31,2020-01-02,NULL
121,DFR001012445000,2014-05-27,31336,551,7,3,411438.09,411438.09,411438.09,Con leyenda,2014-02-28,2019-06-30,NULL
122,DFR001012466000,2014-05-29,31335,939,73,1,2067550.04,2067550.04,2067550.04,Con leyenda,2016-12-30,2019-11-30,NULL
123,DFR001012484000,2014-06-02,33309,41,28,1,702430.57,702430.57,702430.57,Con leyenda,2019-12-31,2019-12-31,NULL
124,DFR001012501000,2014-06-04,32353,545,28,2,48465.84,48465.84,48465.84,Con leyenda,2014-12-31,2019-06-30,NULL
125,DFR001012539000,2014-06-23,31335,286,7,0,574382.85,574382.85,574382.85,Con leyenda,NULL,NULL,2015-06-17
126,DFR001012544000,2014-06-27,31339,286,7,1,280000,280000,280000,Con leyenda,2014-08-30,2019-07-31,2015-06-17
127,DFR001012548000,2014-07-04,32348,551,7,3,167828.05,167828.05,167828.05,Con leyenda,2014-02-28,2019-06-30,NULL
128,DFR001012549000,2014-07-04,32349,551,7,3,434038.07,434038.07,434038.07,Con leyenda,2014-02-28,2019-06-30,NULL
129,DFR001012557000,2014-07-14,32349,551,7,3,645421.68,645421.68,645421.68,Con leyenda,2014-02-28,2019-06-30,NULL
130,DFR001012559000,2014-07-15,32349,938,75,3,2168500,2168500,2168500,Con leyenda,2016-12-31,2019-09-02,NULL
131,DFR001012567000,2014-07-21,32348,551,7,3,53574.7,53574.7,53574.7,Con leyenda,2014-02-28,2019-06-30,NULL
132,DFR001012568000,2014-07-21,32349,551,7,3,186439.95,186439.95,186439.95,Con leyenda,2014-02-28,2019-06-30,NULL
133,DFR001012575000,2014-07-29,32348,495,7,1,22400,22400,22400,Con leyenda,2019-06-30,2019-12-31,NULL
134,DFR001012581000,2014-08-07,33309,229,7,2,15705,15705,15705,No Actualizado,2012-12-31,2020-04-01,NULL
135,DFR001012592000,2014-08-13,35321,262,28,1,999120,999120,999120,Con leyenda,2019-11-30,2020-01-02,2020-11-11
136,DFR001012612000,2014-09-01,22216,525,7,2,121122,121122,121122,Auditada o dictaminada,2012-12-31,2020-04-01,NULL
137,DFR001012613000,2014-09-01,22216,525,7,2,121122,121122,121122,Auditada o dictaminada,2012-12-31,2020-04-01,NULL
138,DFR001012631000,2014-09-11,32353,3,28,0,1000000,1000000,1000000,No Actualizado,NULL,NULL,2015-09-09
139,DFR001012640000,2014-09-25,33309,43,28,2,13226.19,13226.19,13226.19,Con leyenda,2019-12-31,2020-02-05,NULL
140,DFR001012682000,2014-10-21,31339,286,7,0,495057,495057,495057,Con leyenda,NULL,NULL,2015-06-17
141,DFR001012683000,2014-10-21,31339,286,7,0,435332.5,435332.5,435332.5,Con leyenda,NULL,NULL,2015-06-17
142,DFR001012692000,2014-10-23,32348,846,7,1,422450,422450,422450,Con leyenda,2020-03-31,2019-10-01,2018-12-03
143,DFR001012693000,2014-10-23,33309,418,28,1,84785.4,84785.4,84785.4,Auditada o dictaminada,2019-06-30,2019-12-31,NULL
144,DFR001012695000,2014-10-23,32349,407,54,1,3279616.84,3279616.84,3279616.84,Sin leyenda,2017-04-30,2019-12-31,NULL
145,DFR001012706000,2014-11-04,32353,324,7,1,356421.6,356421.6,356421.6,Con leyenda,2019-06-30,2019-11-30,NULL
146,DFR001012710000,2014-11-05,33309,418,28,1,90403.76,90403.76,90403.76,Auditada o dictaminada,2019-06-30,2019-12-31,NULL
147,DFR001012735000,2014-11-13,32350,662,28,2,3460.97,3460.97,3460.97,Con leyenda,2016-11-30,2019-12-31,NULL
148,DFR001012758000,2014-11-26,31335,939,73,1,2722776.53,2722776.53,2722776.53,Con leyenda,2016-12-30,2019-11-30,NULL
149,DFR001012760000,2014-11-26,32353,645,7,1,39600,39600,39600,Con leyenda,2014-09-30,2019-11-30,NULL
150,DFR001012782000,2014-12-02,31339,88,28,1,792000,792000,792000,Con leyenda,2015-10-30,2019-10-31,NULL
151,DFR001012783000,2014-12-03,31334,517,28,1,4832470.7,4832470.7,4832470.7,Con leyenda,2014-10-31,2019-11-30,NULL
152,DFR001012784000,2014-12-03,31334,517,28,1,4942606.18,4942606.18,4942606.18,Con leyenda,2014-10-31,2019-11-30,NULL
153,DFR001012788000,2014-12-04,31336,556,60,1,5818543.1,5818543.1,5818543.1,Con leyenda,2016-03-31,2020-03-31,NULL
154,DFR001012792000,2014-12-09,31339,725,7,1,1217965.29,1217965.29,1217965.29,Con leyenda,2014-12-31,2019-07-31,2014-05-13
155,DFR001012793000,2014-12-09,31335,725,7,0,1826947.93,1826947.93,1826947.93,Con leyenda,NULL,NULL,2014-05-13
156,DFR001012799000,2014-12-11,31335,517,28,1,11397798.1,11397798.1,11397798.1,Con leyenda,2014-10-31,2019-11-30,NULL
157,DFR001012800000,2014-12-11,31335,517,28,1,13803653.33,13803653.33,13803653.33,Con leyenda,2014-10-31,2019-11-30,NULL
158,DFR001012819000,2014-12-30,32348,745,7,1,1349894.89,1349894.89,1349894.89,Sin leyenda,2019-08-31,2019-07-31,NULL
159,DFR001012820000,2014-12-30,32348,495,7,1,89004.78,89004.78,89004.78,Con leyenda,2019-06-30,2019-12-31,NULL
160,DFR001012828000,2015-01-12,32353,542,7,0,10148.32,10148.32,10148.32,Con leyenda,NULL,NULL,2020-04-28
161,DFR001012843000,2015-01-26,32348,495,7,1,130872,130872,130872,Con leyenda,2019-06-30,2019-12-31,NULL
162,DFR001012846000,2015-01-28,32348,385,28,1,1261555,1261555,1261555,Con leyenda,2018-12-31,2020-02-28,NULL
163,DFR001012873000,2015-02-16,32348,495,7,1,90866.4,90866.4,90866.4,Con leyenda,2019-06-30,2019-12-31,NULL
164,DFR001012874000,2015-02-17,32348,942,7,1,2333331,2333331,2333331,Auditada o dictaminada,2016-12-31,2020-03-31,NULL
165,DFR001012897000,2015-03-12,32353,942,7,1,2900,2900,2900,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
166,DFR001012898000,2015-03-13,32348,495,7,1,19845,19845,19845,Con leyenda,2019-06-30,2019-12-31,NULL
167,DFR001012903000,2015-03-17,31335,518,7,1,1396558.76,1396558.76,1396558.76,Con leyenda,2019-06-30,2019-03-31,NULL
168,DFR001012908000,2015-03-24,32348,495,7,1,209880,209880,209880,Con leyenda,2019-06-30,2019-12-31,NULL
169,DFR001012916000,2015-03-31,31334,518,7,1,948275.87,948275.87,948275.87,Con leyenda,2019-06-30,2019-03-31,NULL
170,DFR001012923000,2015-04-08,32353,942,7,1,20000,20000,20000,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
171,DFR001012925000,2015-04-09,32348,495,7,1,10104,10104,10104,Con leyenda,2019-06-30,2019-12-31,NULL
172,DFR001012938000,2015-04-10,32349,625,7,0,103014.3,103014.3,103014.3,Con leyenda,NULL,NULL,2016-03-30
173,DFR001012940000,2015-04-13,32348,942,7,1,667419.88,667419.88,667419.88,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
174,DFR001012941000,2015-04-13,31334,112,7,6,41394.6,41394.6,41394.6,Con leyenda,2018-12-31,2019-12-31,NULL
175,DFR001012943000,2015-04-15,32348,942,7,1,14351.82,14351.82,14351.82,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
176,DFR001012944000,2015-04-15,32348,942,7,1,18798.66,18798.66,18798.66,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
177,DFR001012945000,2015-04-15,32348,942,7,1,9521.41,9521.41,9521.41,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
178,DFR001012946000,2015-04-15,32348,942,7,1,19670.4,19670.4,19670.4,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
179,DFR001012947000,2015-04-15,32348,942,7,1,331.4,331.4,331.4,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
180,DFR001012949000,2015-04-15,32348,942,7,1,4150.28,4150.28,4150.28,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
181,DFR001012950000,2015-04-15,32348,942,7,1,56657.27,56657.27,56657.27,Auditada o dictaminada,2014-12-31,2020-03-31,NULL
182,DFR001012955000,2015-04-17,32353,506,64,1,24621,24621,24621,Con leyenda,2014-12-30,2019-12-31,NULL
183,DFR001012961000,2015-04-23,32348,726,7,2,74400,74400,74400,Con leyenda,2019-12-31,2020-03-02,NULL
184,DFR001012967000,2015-04-28,31334,380,64,0,43858.63,43858.63,43858.63,Con leyenda,NULL,NULL,2015-08-19
185,DFR001012968000,2015-04-28,32348,495,7,1,13199.37,13199.37,13199.37,Con leyenda,2019-06-30,2019-12-31,NULL
186,DFR001012971000,2015-04-29,31335,725,7,1,166944.65,166944.65,166944.65,Con leyenda,2014-12-31,2019-07-31,NULL
187,DFR001012972000,2015-04-29,31339,725,7,1,111296.43,111296.43,111296.43,Con leyenda,2014-12-31,2019-07-31,NULL
188,DFR001012984000,2015-05-21,32348,875,7,0,65231.46,65231.46,65231.46,Con leyenda,NULL,NULL,2016-05-18
189,DFR001012986000,2015-05-21,32349,938,75,3,4999600,4999600,4999600,Con leyenda,2016-12-31,2019-09-02,NULL
190,DFR001012987000,2015-05-21,32348,938,75,3,2999760,2999760,2999760,Con leyenda,2016-12-31,2019-09-02,NULL
191,DFR001012988000,2015-05-22,32348,495,7,1,48708,48708,48708,Con leyenda,2019-06-30,2019-12-31,NULL
192,DFR001012993000,2015-05-25,31339,725,7,1,87412.49,87412.49,87412.49,Con leyenda,2014-12-31,2019-07-31,NULL
193,DFR001012994000,2015-05-25,31335,725,7,1,131118.74,131118.74,131118.74,Con leyenda,2014-12-31,2019-07-31,NULL
194,DFR001012995000,2015-05-25,31335,725,7,1,237043.68,237043.68,237043.68,Con leyenda,2014-12-31,2019-07-31,NULL
195,DFR001012996000,2015-05-25,31339,725,7,1,158029.12,158029.12,158029.12,Con leyenda,2014-12-31,2019-07-31,NULL
196,DFR001012997000,2015-05-26,32348,495,7,1,43869.6,43869.6,43869.6,Con leyenda,2019-06-30,2019-12-31,NULL
197,DFR001012998000,2015-05-26,32348,495,7,1,32060,32060,32060,Con leyenda,2019-06-30,2019-12-31,NULL
198,DFR001013004000,2015-05-29,32348,495,7,1,6631.2,6631.2,6631.2,Con leyenda,2019-06-30,2019-12-31,NULL
199,DFR001013025000,2015-06-16,33309,592,7,2,209721.8,209721.8,209721.8,No Actualizado,2017-12-31,2020-05-29,NULL
200,DFR001013031000,2015-06-22,32348,421,7,1,10363877.5,10363877.5,10363877.5,Auditada o dictaminada,2016-12-31,2019-06-30,NULL
201,DFR001013036000,2015-06-24,31336,984,54,0,372518.69,372518.69,372518.69,Con leyenda,NULL,NULL,2019-07-01
202,DFR001013066000,2015-07-31,32348,844,7,1,309950,309950,309950,Sin leyenda c/ Dict. Anual,2014-12-31,2019-07-31,NULL
203,DFR001013067000,2015-07-31,32348,844,7,1,518400,518400,518400,Sin leyenda c/ Dict. Anual,2014-12-31,2019-07-31,NULL
204,DFR001013068000,2015-08-04,32349,237,7,0,55108.5,55108.5,55108.5,Con leyenda,NULL,NULL,2016-06-22
205,DFR001013072000,2015-08-11,32353,542,7,0,20188.7,20188.7,20188.7,Con leyenda,NULL,NULL,2020-04-28
206,DFR001013082000,2015-08-20,32348,647,7,0,68965.51,68965.51,68965.51,Con leyenda,NULL,NULL,2018-02-21
207,DFR001013086000,2015-08-24,34326,583,26,0,3135702.72,3135702.72,3135702.72,Con leyenda,NULL,NULL,2020-09-19
208,DFR001013087000,2015-08-24,32348,253,54,2,1916955.87,1916955.87,1916955.87,Con leyenda,2017-12-30,2019-10-31,NULL
209,DFR001013099000,2015-09-03,31339,952,83,0,7879082.82,7879082.82,7879082.82,Con leyenda,NULL,NULL,2021-03-05
210,DFR001013105000,2015-09-24,31335,166,55,1,2042416,2042416,2042416,Con leyenda,2015-03-31,2019-08-31,NULL
211,DFR001013106000,2015-09-24,31334,166,55,1,2042416,2042416,2042416,Con leyenda,2015-03-31,2019-08-31,NULL
212,DFR001013136000,2015-10-26,32353,542,7,0,22748.02,22748.02,22748.02,Con leyenda,NULL,NULL,2020-04-28
